,county,category,quantity
0,Edinburgh City,meat & fish,72605718
1,Edinburgh City,fruits & vegetables,69467446
2,Edinburgh City,dairy,69150692
3,Edinburgh City,clothing,66037206
4,East Lindsey,meat & fish,61023657
5,Falkirk,meat & fish,59909748
6,East Lindsey,fruits & vegetables,58489533
7,East Lindsey,dairy,57995541
8,Falkirk,fruits & vegetables,57144570
9,Falkirk,dairy,56940909
10,East Lindsey,clothing,55032048
11,Falkirk,clothing,54217944
12,Edinburgh City,bakery,48568886
13,Edinburgh City,gaming,48426986
14,East Cambridgeshire,meat & fish,44892878
15,Warwickshire,meat & fish,44489448
16,Greater London,meat & fish,44304198
17,Orkney,meat & fish,44009804
18,Kent,meat & fish,43824214
19,East Cambridgeshire,dairy,42837170
20,East Cambridgeshire,fruits & vegetables,42701060
21,North Yorkshire,meat & fish,42679484
22,Warwickshire,dairy,42376302
23,Greater London,fruits & vegetables,42333652
24,Warwickshire,fruits & vegetables,42167920
25,Greater London,dairy,42090552
26,Orkney,dairy,42044808
27,Orkney,fruits & vegetables,41812408
28,Kent,fruits & vegetables,41762720
29,Kent,dairy,41659648
30,East Cambridgeshire,clothing,40756462
31,East Lindsey,bakery,40719687
32,East Lindsey,gaming,40609830
33,North Yorkshire,dairy,40553608
34,North Yorkshire,fruits & vegetables,40511527
35,Warwickshire,clothing,40181382
36,Greater London,clothing,39965860
37,Falkirk,gaming,39956529
38,Orkney,clothing,39866224
39,Falkirk,bakery,39857661
40,Islington,meat & fish,39764826
41,Kent,clothing,39650986
42,West Somerset,meat & fish,39352354
43,North Yorkshire,clothing,38478190
44,West Somerset,dairy,37932104
45,Islington,dairy,37883754
46,Islington,fruits & vegetables,37741970
47,West Somerset,fruits & vegetables,37729390
48,Neath Port Talbot,meat & fish,36189458
49,Islington,clothing,35967090
50,West Somerset,clothing,35747748
51,Wrexham,meat & fish,35512076
52,Neath Port Talbot,dairy,34461388
53,Neath Port Talbot,fruits & vegetables,34450348
54,Wrexham,fruits & vegetables,33741988
55,Wrexham,dairy,33647430
56,Neath Port Talbot,clothing,32698482
57,Wrexham,clothing,32063498
58,East Cambridgeshire,bakery,29941962
59,East Cambridgeshire,gaming,29923570
60,Greater London,bakery,29752080
61,Warwickshire,gaming,29686958
62,Greater London,gaming,29574948
63,Warwickshire,bakery,29524628
64,Orkney,bakery,29382412
65,Orkney,gaming,29269236
66,Kent,bakery,29211228
67,Kent,gaming,29203082
68,North Yorkshire,gaming,28374324
69,North Yorkshire,bakery,28264030
70,Islington,gaming,26534220
71,Islington,bakery,26518342
72,West Somerset,bakery,26390472
73,West Somerset,gaming,26324892
74,Edinburgh City,appliances,24248810
75,Neath Port Talbot,bakery,24200680
76,Neath Port Talbot,gaming,24066418
77,Bassetlaw,meat & fish,24065013
78,Wrexham,bakery,23567556
79,Wrexham,gaming,23521410
80,Bassetlaw,dairy,23049727
81,Bassetlaw,fruits & vegetables,22951284
82,Flintshire,meat & fish,22521790
83,South Northamptonshire,meat & fish,22359737
84,Lincoln,meat & fish,22343155
85,Richmondshire,meat & fish,22244078
86,Tyne and Wear,meat & fish,22223073
87,Epsom and Ewell,meat & fish,22175006
88,Stoke-on-Trent,meat & fish,22160073
89,Wyre,meat & fish,22131178
90,North Ayrshire,meat & fish,22125893
91,East Sussex,meat & fish,22072977
92,Castle Point,meat & fish,22065642
93,Cheshire East,meat & fish,22050657
94,Forest of Dean,meat & fish,22047833
95,Sefton,meat & fish,22041236
96,Fylde,meat & fish,22036446
97,Swansea,meat & fish,22029373
98,Staffordshire,meat & fish,22027594
99,Lambeth,meat & fish,22009116
100,Newham,meat & fish,21994211
101,Haringey,meat & fish,21938489
102,Bassetlaw,clothing,21921658
103,Ceredigion,meat & fish,21911840
104,Dorset,meat & fish,21870305
105,Chiltern,meat & fish,21859572
106,East Devon,meat & fish,21824197
107,Mole Valley,meat & fish,21800414
