,region,category,quantity
0,South East England,meat & fish,304258593
1,South East England,fruits & vegetables,290400951
2,South East England,dairy,289805366
3,Scotland,meat & fish,276556248
4,South East England,clothing,275288794
5,Scotland,fruits & vegetables,263637891
6,Scotland,dairy,263207524
7,Wales,meat & fish,254696323
8,Scotland,clothing,250719018
9,Wales,fruits & vegetables,242548837
10,Wales,dairy,242420654
11,Wales,clothing,230266629
12,East Midlands,meat & fish,224219332
13,East Midlands,fruits & vegetables,214086668
14,East Midlands,dairy,213464258
15,East Midlands,clothing,203048723
16,South East England,bakery,202743735
17,South East England,gaming,202554409
18,London,meat & fish,188063601
19,Scotland,bakery,184335510
20,Scotland,gaming,184218036
21,London,fruits & vegetables,179325438
22,London,dairy,179253966
23,East of England,meat & fish,178801254
24,East of England,fruits & vegetables,170507193
25,London,clothing,170364166
26,East of England,dairy,170216285
27,Wales,bakery,169680947
28,Wales,gaming,169624106
29,East of England,clothing,161834826
30,East Midlands,bakery,149704837
31,East Midlands,gaming,149463064
32,West Midlands,meat & fish,146471913
33,West Midlands,dairy,139769333
34,West Midlands,fruits & vegetables,139404515
35,West Midlands,clothing,132390473
36,North West England,meat & fish,126578551
37,London,bakery,125773699
38,London,gaming,125552308
39,North West England,fruits & vegetables,120880754
40,North West England,dairy,120653055
41,East of England,gaming,119276735
42,East of England,bakery,119266501
43,North West England,clothing,114662993
44,South West England,meat & fish,105094689
45,South East England,appliances,101454811
46,Yorkshire and the Humber,meat & fish,101361463
47,South West England,dairy,100502888
48,South West England,fruits & vegetables,100288109
49,West Midlands,gaming,97691192
50,West Midlands,bakery,97280329
51,Yorkshire and the Humber,dairy,96250602
52,Yorkshire and the Humber,fruits & vegetables,96187730
53,South West England,clothing,95213487
54,Scotland,appliances,92117049
55,Yorkshire and the Humber,clothing,91294915
56,South East England,computing,87040962
57,Wales,appliances,84920843
58,North West England,gaming,84712095
59,North West England,bakery,84527579
60,Scotland,computing,78917411
61,Northern Ireland,meat & fish,77240453
62,East Midlands,appliances,74758148
63,Northern Ireland,dairy,73546443
64,Northern Ireland,fruits & vegetables,73541776
65,Wales,computing,72553132
66,South West England,bakery,70248621
67,South West England,gaming,70110135
68,Northern Ireland,clothing,70020173
69,Yorkshire and the Humber,gaming,67429300
70,Yorkshire and the Humber,bakery,67353399
71,East Midlands,computing,64084097
72,London,appliances,62725743
73,East of England,appliances,59630887
74,North East England,meat & fish,58731557
75,North East England,dairy,55891482
76,North East England,fruits & vegetables,55882021
77,London,computing,53634278
78,North East England,clothing,53181370
79,Northern Ireland,gaming,51590587
80,Northern Ireland,bakery,51381939
81,East of England,computing,51022550
82,West Midlands,appliances,48779920
83,North West England,appliances,42276172
84,West Midlands,computing,41830057
85,North East England,bakery,39148563
86,North East England,gaming,39102404
87,North West England,computing,36199707
88,South West England,appliances,35156403
89,Yorkshire and the Humber,appliances,33689411
90,South West England,computing,30083785
91,Yorkshire and the Humber,computing,28885294
92,Northern Ireland,appliances,25749711
93,Northern Ireland,computing,22118407
94,North East England,appliances,19514832
95,North East England,computing,16693398
