,county,product,quantity
0,Edinburgh City,hotpoint washing machine,3574370
1,Edinburgh City,almond croisant,3545662
2,Edinburgh City,beans,3537248
3,Edinburgh City,denim jacket,3527432
4,Edinburgh City,oxford shoes,3523750
5,Edinburgh City,courgette loose,3521454
6,Edinburgh City,vanilla yoghurt,3518864
7,Edinburgh City,millionaire square,3515718
8,Edinburgh City,brenton jumper,3513344
9,Edinburgh City,hp dv 3000 laptop,3510266
10,Edinburgh City,fresh whole turkey,3504566
11,Edinburgh City,pokemon blue,3504448
12,Edinburgh City,aubergine,3504210
13,Edinburgh City,raspberries,3503900
14,Edinburgh City,Brocolli loose,3503284
15,Edinburgh City,halo combat evolved,3502500
16,Edinburgh City,white shirt,3501482
17,Edinburgh City,jam doughnut,3501448
18,Edinburgh City,sea bass fillets,3501422
19,Edinburgh City,dyson washing machine,3500498
20,Edinburgh City,cheese cake,3498306
21,Edinburgh City,minecraft game - xbox,3498076
22,Edinburgh City,corn,3498050
23,Edinburgh City,Almond milk,3497716
24,Edinburgh City,gaming mouse,3495530
25,Edinburgh City,british fresh chicken thigh fillets,3494446
26,Edinburgh City,denim jeams,3493452
27,Edinburgh City,goat cheese,3492818
28,Edinburgh City,apple macbook air mid 2009,3491906
29,Edinburgh City,linen trousers,3490718
30,Edinburgh City,celery,3490462
31,Edinburgh City,Fairtrade Bananas Loose,3489104
32,Edinburgh City,hp envy laptop,3488788
33,Edinburgh City,pain au raisins,3488160
34,Edinburgh City,pink blazers,3487082
35,Edinburgh City,Lemon,3486288
36,Edinburgh City,red velvet cake,3485390
37,Edinburgh City,wellington boots,3484268
38,Edinburgh City,silk scarf,3484178
39,Edinburgh City,diced vernison,3481636
40,Edinburgh City,21 day mature rump steak,3481170
41,Edinburgh City,hp dv 2000 laptop,3480694
42,Edinburgh City,dyson tower fan,3480208
43,Edinburgh City,British baking potatoes loose,3479250
44,Edinburgh City,Sweet potatoes loose,3478578
45,Edinburgh City,pokemon red,3477738
46,Edinburgh City,organic raspberry yoghurt,3477588
47,Edinburgh City,dell inspiron laptop,3477000
48,Edinburgh City,Blueberry yoghurt,3476864
49,Edinburgh City,cotton tie,3476708
50,Edinburgh City,grey cardigan,3476138
51,Edinburgh City,classic bowtie,3475506
52,Edinburgh City,corned beef,3475364
53,Edinburgh City,brenton t-shirt,3475220
54,Edinburgh City,Onions Loose,3474826
55,Edinburgh City,Soy Milk,3474774
56,Edinburgh City,fresh turkey steak,3474210
57,Edinburgh City,British carrots loose,3474194
58,Edinburgh City,silk tie,3473488
59,Edinburgh City,organic soured cream,3473296
60,Edinburgh City,garlic,3473186
61,Edinburgh City,baby potatoes,3473166
62,Edinburgh City,fine beans,3473020
63,Edinburgh City,skimmed milk,3471918
64,Edinburgh City,play station 3,3471212
65,Edinburgh City,chicken sausages,3470760
66,Edinburgh City,free range large eggs x12,3470270
67,Edinburgh City,croisant ,3470156
68,Edinburgh City,flapjack,3469646
69,Edinburgh City,beef sausages,3469238
70,Edinburgh City,british fresh chicken brest fillets,3468618
71,Edinburgh City,21 day mature ribeye steak,3467232
72,Edinburgh City,unsalted butter,3467042
73,Edinburgh City,british bramley cooking apples,3466046
74,Edinburgh City,Plain Greek yoghurt,3464920
75,Edinburgh City,vernison sausages,3462998
76,Edinburgh City,oxford shirt,3462088
77,Edinburgh City,shortbread,3460708
78,Edinburgh City,Mixed pepper,3459380
79,Edinburgh City,cod fillets,3459032
80,Edinburgh City,blue stilton cheese,3458096
81,Edinburgh City,Oats Milk,3457564
82,Edinburgh City,gameboy color,3457554
83,Edinburgh City,chocolate twist,3454996
84,Edinburgh City,pokemon gold,3454286
85,Edinburgh City,lg washing machine,3453298
86,Edinburgh City,apple macbook pro mid 2009,3452502
87,Edinburgh City,olive oil spread,3449832
88,Edinburgh City,x-box 360,3448642
89,Edinburgh City,fresh whole chicken,3448428
90,Edinburgh City,salmon fillets,3448130
91,Edinburgh City,chocolate fudge cake,3446832
92,Edinburgh City,diced chicken breast,3446706
93,Edinburgh City,british parsnips loose,3444770
94,Edinburgh City,grey blazers,3444518
95,Edinburgh City,Slightly salted butter,3442582
96,Edinburgh City,rice,3442102
97,Edinburgh City,easy peeler loose,3442034
98,Edinburgh City,pain au chocolate,3438542
99,Edinburgh City,custard doughnut,3437266
100,Edinburgh City,21 day mature sirlion steak,3436978
101,Edinburgh City,gameboy advance,3433878
102,Edinburgh City,semi skimmed milk,3431844
103,Edinburgh City,bosch washing machine,3429990
104,Edinburgh City,scottish salmon,3428688
105,Edinburgh City,gaming keyboard,3427438
106,Edinburgh City,british fresh turkey mince,3426968
107,Edinburgh City,Red pepper,3426434
108,Edinburgh City,mild cheddar cheese,3423680
109,Edinburgh City,linen shirt,3422760
110,Edinburgh City,plastic sunshades,3419956
111,Edinburgh City,dual shock controller,3419916
112,Edinburgh City,Organic Kefir,3419044
113,Edinburgh City,pokemon yellow,3418408
114,Edinburgh City,god of war 2,3417360
115,Edinburgh City,dyson vacuum cleaner,3415990
116,Edinburgh City,wristwatch,3405118
117,Edinburgh City,Spring onions bunch,3403860
118,Edinburgh City,large king prawns,3401836
119,Edinburgh City,mature cheddar cheese,3397672
120,Edinburgh City,samsung washing machine,3394456
121,Edinburgh City,Organic mILK,3384308
122,Edinburgh City,beef mince,3357292
123,Edinburgh City,macaron - x3,3356056
124,East Lindsey,Red pepper,3039552
125,East Lindsey,fresh whole turkey,3009606
126,East Lindsey,Almond milk,2989908
127,East Lindsey,salmon fillets,2989794
128,East Lindsey,play station 3,2982957
129,East Lindsey,flapjack,2971881
130,East Lindsey,rice,2969598
131,East Lindsey,dell inspiron laptop,2968872
132,East Lindsey,linen trousers,2965899
133,East Lindsey,gaming keyboard,2964168
134,East Lindsey,fine beans,2963214
135,East Lindsey,Plain Greek yoghurt,2962794
136,East Lindsey,cod fillets,2960472
137,East Lindsey,fresh whole chicken,2958342
138,East Lindsey,british fresh chicken thigh fillets,2957262
139,East Lindsey,gaming mouse,2954454
140,Falkirk,large king prawns,2951235
141,East Lindsey,mature cheddar cheese,2950422
142,East Lindsey,almond croisant,2948496
143,East Lindsey,Spring onions bunch,2946525
144,East Lindsey,British baking potatoes loose,2945724
145,East Lindsey,Onions Loose,2945055
146,East Lindsey,baby potatoes,2942646
147,East Lindsey,dyson washing machine,2942511
148,East Lindsey,aubergine,2937003
149,East Lindsey,organic raspberry yoghurt,2936934
150,East Lindsey,olive oil spread,2935887
151,East Lindsey,Sweet potatoes loose,2935272
152,East Lindsey,British carrots loose,2933940
153,East Lindsey,apple macbook pro mid 2009,2933640
154,East Lindsey,millionaire square,2933178
155,Falkirk,Sweet potatoes loose,2932944
156,East Lindsey,brenton t-shirt,2932584
157,East Lindsey,beans,2932512
158,East Lindsey,pink blazers,2932011
159,East Lindsey,organic soured cream,2930292
160,East Lindsey,corned beef,2929872
161,East Lindsey,apple macbook air mid 2009,2929797
162,East Lindsey,celery,2928267
163,East Lindsey,Brocolli loose,2927988
164,East Lindsey,cheese cake,2927799
165,East Lindsey,easy peeler loose,2927778
166,East Lindsey,pokemon blue,2927352
167,East Lindsey,hp dv 2000 laptop,2926815
168,Falkirk,brenton t-shirt,2926563
169,East Lindsey,samsung washing machine,2924103
170,East Lindsey,pokemon gold,2924076
171,East Lindsey,oxford shoes,2923197
172,East Lindsey,silk tie,2920173
173,East Lindsey,unsalted butter,2920074
174,East Lindsey,chocolate fudge cake,2919237
175,East Lindsey,corn,2918160
176,East Lindsey,garlic,2916321
177,Falkirk,Spring onions bunch,2915529
178,Falkirk,corned beef,2915247
179,East Lindsey,custard doughnut,2914440
180,East Lindsey,skimmed milk,2914005
181,East Lindsey,british bramley cooking apples,2913675
182,East Lindsey,pain au chocolate,2912787
183,East Lindsey,classic bowtie,2912103
184,East Lindsey,brenton jumper,2912052
185,East Lindsey,Slightly salted butter,2911725
186,Falkirk,free range large eggs x12,2911251
187,East Lindsey,chicken sausages,2910969
188,East Lindsey,Mixed pepper,2910213
189,Falkirk,x-box 360,2909430
190,Falkirk,garlic,2908008
191,Falkirk,denim jeams,2908005
192,East Lindsey,halo combat evolved,2907591
193,East Lindsey,lg washing machine,2907333
194,East Lindsey,wellington boots,2907042
195,East Lindsey,beef sausages,2906124
196,Falkirk,cotton tie,2905968
197,East Lindsey,plastic sunshades,2904315
198,East Lindsey,dyson tower fan,2904198
199,East Lindsey,sea bass fillets,2904078
200,East Lindsey,Fairtrade Bananas Loose,2903757
201,East Lindsey,gameboy advance,2903031
202,East Lindsey,british fresh chicken brest fillets,2902770
203,East Lindsey,mild cheddar cheese,2902335
204,Falkirk,hp dv 3000 laptop,2901741
205,East Lindsey,jam doughnut,2899980
206,East Lindsey,linen shirt,2899287
207,East Lindsey,shortbread,2898168
208,East Lindsey,blue stilton cheese,2898081
209,East Lindsey,diced vernison,2898063
210,Falkirk,british parsnips loose,2896992
211,East Lindsey,british fresh turkey mince,2896002
212,East Lindsey,chocolate twist,2894742
213,Falkirk,beef sausages,2893548
214,East Lindsey,wristwatch,2893137
215,East Lindsey,courgette loose,2892156
