,region,branch_name,amount_in_gbp,quantity,performance
39,Scotland,Edinburgh City branch,46498830564.8256,429884300,46928714864.8256
1,East Midlands,East Lindsey branch,38580133776.6612,360521916,38940655692.6612
40,Scotland,Falkirk branch,37618273512.3936,353448399,37971721911.3936
13,East of England,East Cambridgeshire outlet,27826911158.288403,265297854,28092209012.288403
78,West Midlands,Warwickshire branch,27606947256.993202,262086398,27869033654.993202
17,London,Greater London branch,27501434488.0208,261732992,27763167480.0208
43,Scotland,Orkney store,27425241501.9632,259946388,27685187889.9632
52,South East England,Kent branch,27270707909.684002,258686924,27529394833.684002
62,South West England,West Somerset branch,25018764876.182003,233642606,25252407482.182003
21,London,Islington branch,24929744111.824,234610612,25164354723.824
69,Wales,Neath Port Talbot outlet,22988762268.7136,213558664,23202320932.7136
73,Wales,Wrexham store,22410145049.299603,208957798,22619102847.299603
67,Wales,Flintshire branch,13990965106.184801,132643870,14123608976.184801
48,South East England,Epsom and Ewell store,13855723686.9088,131062225,13986785911.9088
0,East Midlands,Bassetlaw outlet,13838435781.5576,142635065,13981070846.5576
81,Yorkshire and the Humber,North Yorkshire store,13843488765.533201,130874199,13974362964.533201
42,Scotland,North Ayrshire store,13841306247.2858,130867673,13972173920.2858
3,East Midlands,Lincoln branch,13839126767.7122,131900207,13971026974.7122
8,East Midlands,South Northamptonshire store,13824308732.836601,131621748,13955930480.836601
32,North West England,Wyre branch,13821307999.0774,131095259,13952403258.0774
72,Wales,Swansea store,13810733652.214,130137275,13940870927.214
77,West Midlands,Stoke-on-Trent store,13808009847.0338,130958633,13938968480.0338
22,London,Lambeth store,13807838579.155,130186640,13938025219.155
82,Yorkshire and the Humber,Richmondshire outlet,13806726770.460201,130845287,13937572057.460201
27,North West England,Cheshire East outlet,13800431391.565601,130905595,13931336986.565601
31,North West England,Sefton outlet,13784575399.4906,130241322,13914816721.4906
76,West Midlands,Staffordshire store,13778199446.233,130457045,13908656491.233
59,South West England,Dorset outlet,13771720637.9698,129641054,13901361691.9698
11,East of England,Castle Point outlet,13763035935.947401,130164584,13893200519.947401
29,North West England,Fylde outlet,13752944213.975801,130388967,13883333180.975801
26,North East England,Tyne and Wear outlet,13744036739.0756,130871905,13874908644.0756
