,region,product,quantity
0,Scotland,oxford shoes,24784193
1,Scotland,cotton tie,24764388
2,Scotland,brenton t-shirt,24710102
3,Scotland,large king prawns,24671302
4,Scotland,denim jeams,24657611
5,Scotland,denim jacket,24655943
6,Scotland,raspberries,24647022
7,Scotland,corned beef,24635284
8,Scotland,garlic,24634778
9,Scotland,21 day mature rump steak,24620146
10,Scotland,brenton jumper,24609326
11,Scotland,hp dv 3000 laptop,24608258
12,Scotland,play station 3,24599299
13,Scotland,dell inspiron laptop,24594227
14,Scotland,Soy Milk,24592222
15,Scotland,courgette loose,24591087
16,Scotland,almond croisant,24585169
17,Scotland,pokemon blue,24583067
18,Scotland,beans,24579843
19,Scotland,beef sausages,24574971
20,Scotland,white shirt,24570602
21,Scotland,british fresh chicken thigh fillets,24567666
22,Scotland,silk scarf,24566482
23,Scotland,free range large eggs x12,24561662
24,Scotland,Almond milk,24551641
25,Scotland,sea bass fillets,24550942
26,Scotland,Sweet potatoes loose,24548976
27,Scotland,dyson tower fan,24538885
28,Scotland,halo combat evolved,24536375
29,Scotland,croisant ,24534848
30,Scotland,Onions Loose,24532916
31,Scotland,Lemon,24531803
32,Scotland,oxford shirt,24527583
33,Scotland,pain au raisins,24525859
34,Scotland,British baking potatoes loose,24524313
35,Scotland,x-box 360,24522929
36,Scotland,gameboy color,24522660
37,Scotland,dyson washing machine,24515307
38,Scotland,chocolate fudge cake,24512334
39,Scotland,olive oil spread,24504919
40,Scotland,rice,24504215
41,Scotland,hotpoint washing machine,24493071
42,Scotland,mild cheddar cheese,24490939
43,Scotland,minecraft game - xbox,24485482
44,Scotland,chicken sausages,24485386
45,Scotland,diced vernison,24484953
46,Scotland,vanilla yoghurt,24479725
47,Scotland,Spring onions bunch,24470061
48,Scotland,British carrots loose,24468435
49,Scotland,baby potatoes,24466119
50,Scotland,british parsnips loose,24459340
51,Scotland,fresh turkey steak,24458640
52,Scotland,blue stilton cheese,24453848
53,Scotland,cheese cake,24453000
54,Scotland,god of war 2,24442683
55,Scotland,Plain Greek yoghurt,24439142
56,Scotland,Fairtrade Bananas Loose,24437316
57,Scotland,flapjack,24436424
58,Scotland,salmon fillets,24435614
59,Scotland,fresh whole turkey,24432613
60,Scotland,chocolate twist,24429622
61,Scotland,cod fillets,24429478
62,Scotland,skimmed milk,24426650
63,Scotland,silk tie,24425689
64,Scotland,Oats Milk,24422778
65,Scotland,aubergine,24417913
66,Scotland,fine beans,24416794
67,Scotland,unsalted butter,24409589
68,Scotland,jam doughnut,24405385
69,Scotland,dual shock controller,24402733
70,Scotland,gaming mouse,24401333
71,Scotland,organic raspberry yoghurt,24400814
72,Scotland,Organic mILK,24400151
